region,district,male,female,total,sex_ratio
EASTERN,Kailahun,273793,276642,550435,99.0
EASTERN,Kenema,384173,388299,772472,98.9
EASTERN,Kono,311832,308871,620703,101.0
NORTH EAST,Bombali,186824,200412,387236,93.2
NORTH EAST,Falaba,83622,82583,166205,101.3
NORTH EAST,Koinadugu,102364,103769,206133,98.6
NORTH EAST,Tonkolili,282127,275130,557257,102.5
NORTH WEST,Kambia,188560,179139,367699,105.3
NORTH WEST,Karene,147124,143189,290313,102.7
NORTH WEST,Port Loko,253790,274248,528038,92.5
SOUTH,Bo,366346,390629,756975,93.8
SOUTH,Bonthe,149555,148006,297561,101.0
SOUTH,Moyamba,167836,178935,346771,93.8
SOUTH,Pujehun,215332,214242,429574,100.5
WESTERN,West Rural,322058,340098,662156,94.7
WESTERN,West Urban,292411,316763,609174,92.3
